Model_name,MCC_Score,F1_Score
One_hot,0.08977075053443027,0.12676056338028172
512_Linear_NoBias,0.09579735065010003,0.1318181818181818
3072_Linear_NoBias,0.052035894255720645,0.10256410256410257
512_Linear,0.06427018828875182,0.1135646687697161
3072_Linear,0.006259594576106613,0.044444444444444446
512_Conv1D,0.03367451839860979,0.08290155440414508
3072_Conv1D,0.03429577401610483,0.08695652173913045
